benchmark_name,client_num,commit,errors,exp_duration,key_dist,key_dist_skew,n_clients_per_workload_node,n_hot_keys,n_hot_nodes,n_keys_per_statement,n_splits,n_statements_per_txn,n_warm_nodes,n_workload_nodes,op_type,ops/sec,p50_ms,p95_ms,p99_ms,pmax_ms,read_percent,sample_type,time_secs
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,46.7,50.3,604.0,738.2,838.9,90,interval,1.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,2.6,486.5,838.9,872.4,872.4,90,interval,1.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,224.5,302.0,906.0,1073.7,1342.2,90,interval,2.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,9.0,906.0,1275.1,1275.1,1275.1,90,interval,2.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,106.0,385.9,1275.1,1744.8,1744.8,90,interval,3.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,4.0,1040.2,2952.8,2952.8,2952.8,90,interval,3.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,73.0,536.9,1946.2,1946.2,2013.3,90,interval,4.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,4.0,906.0,1476.4,1476.4,1476.4,90,interval,4.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,124.0,570.4,1879.0,1879.0,2415.9,90,interval,5.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,3.0,1811.9,2952.8,2952.8,2952.8,90,interval,5.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,54.1,738.2,1409.3,1610.6,2013.3,90,interval,6.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,2.0,1744.8,3489.7,3489.7,3489.7,90,interval,6.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,42.0,1744.8,2281.7,2415.9,2415.9,90,interval,7.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,3.0,3355.4,6442.5,6442.5,6442.5,90,interval,7.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,148.9,134.2,1811.9,2080.4,2147.5,90,interval,8.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,13.0,5100.3,6979.3,6979.3,6979.3,90,interval,8.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,71.0,704.6,1140.9,1476.4,1543.5,90,interval,9.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,6.0,1140.9,6710.9,6710.9,6710.9,90,interval,9.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,100.0,419.4,2952.8,8321.5,10200.5,90,interval,10.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,10.0,1140.9,10200.5,10200.5,10200.5,90,interval,10.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,61.1,226.5,637.5,704.6,872.4,90,interval,11.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,3.0,453.0,469.8,469.8,469.8,90,interval,11.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,14.0,1811.9,2013.3,2013.3,2013.3,90,interval,12.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,2.0,2818.6,9126.8,9126.8,9126.8,90,interval,12.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,134.9,260.0,2281.7,2684.4,2684.4,90,interval,13.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,10.0,2818.6,11811.2,11811.2,11811.2,90,interval,13.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,99.9,335.5,738.2,872.4,1073.7,90,interval,14.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,13.0,3489.7,12348.0,13421.8,13421.8,90,interval,14.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,96.0,209.7,1140.9,1275.1,1275.1,90,interval,15.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,9.0,5637.1,13421.8,13421.8,13421.8,90,interval,15.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,19.0,906.0,1610.6,1677.7,1677.7,90,interval,16.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,0.0,0.0,0.0,0.0,0.0,90,interval,16.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,58.0,520.1,2013.3,2013.3,2080.4,90,interval,17.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,13.0,2013.3,9126.8,14495.5,14495.5,90,interval,17.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,89.0,251.7,1073.7,1275.1,2080.4,90,interval,18.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,8.0,2080.4,12884.9,12884.9,12884.9,90,interval,18.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,18.0,6.0,1543.5,1610.6,1610.6,90,interval,19.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,3.0,5368.7,5905.6,5905.6,5905.6,90,interval,19.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,186.8,92.3,1677.7,1811.9,1879.0,90,interval,20.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,21.0,6979.3,19327.4,19327.4,19327.4,90,interval,20.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,57.0,838.9,1073.7,1140.9,1140.9,90,interval,21.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,7.0,1073.7,20401.1,20401.1,20401.1,90,interval,21.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,79.0,318.8,1342.2,1342.2,1342.2,90,interval,22.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,7.0,7516.2,21474.8,21474.8,21474.8,90,interval,22.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,87.0,243.3,1342.2,1879.0,2147.5,90,interval,23.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,5.0,9126.8,20401.1,20401.1,20401.1,90,interval,23.0
kv,0,jenn-no-wound,0.0,60,zipf,1.3,128,1,1,10,1000,1,15,1,,36.0,604.0,1275.1,1610.6,1610.6,90,interval,24.0
