47088281069, avg(latency)=3289.890852, med(latency)=3289.890852, p99(latency)=3289.890852
912, avg(latency)=3721.792343, med(latency)=3721.792343, p99(latency)=3721.792343
338478828275588, avg(latency)=3721.792343, med(latency)=3721.792343, p99(latency)=3721.792343
114, avg(latency)=3373.9347795, med(latency)=3287.663179, p99(latency)=2429.1304305024
921173966, avg(latency)=3721.792343, med(latency)=3721.792343, p99(latency)=3721.792343
983186, avg(latency)=3721.792343, med(latency)=3721.792343, p99(latency)=3721.792343
3266, avg(latency)=4418.2898945, med(latency)=4418.2898945, p99(latency)=3735.5829945196997
13000, avg(latency)=3721.792343, med(latency)=3721.792343, p99(latency)=3721.792343
805, avg(latency)=3721.792343, med(latency)=3721.792343, p99(latency)=3721.792343
40599860466152, avg(latency)=3721.792343, med(latency)=3721.792343, p99(latency)=3721.792343
440895, avg(latency)=3721.792343, med(latency)=3721.792343, p99(latency)=3721.792343
1754, avg(latency)=4575.58937, med(latency)=4575.58937, p99(latency)=3738.6975241346
4748486082772315136, avg(latency)=3721.792343, med(latency)=3721.792343, p99(latency)=3721.792343
120545, avg(latency)=2552.906817, med(latency)=2552.906817, p99(latency)=2552.906817
1287, avg(latency)=2552.906817, med(latency)=2552.906817, p99(latency)=2552.906817
3861274978, avg(latency)=2552.906817, med(latency)=2552.906817, p99(latency)=2552.906817
66777, avg(latency)=2552.906817, med(latency)=2552.906817, p99(latency)=2552.906817
2940, avg(latency)=2552.906817, med(latency)=2552.906817, p99(latency)=2552.906817
493, avg(latency)=2552.906817, med(latency)=2552.906817, p99(latency)=2552.906817
223937988342, avg(latency)=2552.906817, med(latency)=2552.906817, p99(latency)=2552.906817
64, avg(latency)=4474.3543455, med(latency)=2302.164757, p99(latency)=1194.5692453932002
109074955, avg(latency)=2552.906817, med(latency)=2552.906817, p99(latency)=2552.906817
21542, avg(latency)=4212.461972, med(latency)=4212.461972, p99(latency)=4212.461972
24602079525761888, avg(latency)=4212.461972, med(latency)=4212.461972, p99(latency)=4212.461972
609, avg(latency)=4212.461972, med(latency)=4212.461972, p99(latency)=4212.461972
928919712999, avg(latency)=4212.461972, med(latency)=4212.461972, p99(latency)=4212.461972
72, avg(latency)=4596.2663875, med(latency)=3896.751764, p99(latency)=3382.0320324128
266381, avg(latency)=4212.461972, med(latency)=4212.461972, p99(latency)=4212.461972
305177, avg(latency)=4212.461972, med(latency)=4212.461972, p99(latency)=4212.461972
54336, avg(latency)=4212.461972, med(latency)=4212.461972, p99(latency)=4212.461972
76, avg(latency)=3456.7679397142856, med(latency)=3670.833716, p99(latency)=566.0017902292
21422968, avg(latency)=4145.674104000001, med(latency)=4145.674104000001, p99(latency)=4145.674104000001
14, avg(latency)=5636.945769285714, med(latency)=4530.971132000001, p99(latency)=803.530710306
380358, avg(latency)=4145.674104000001, med(latency)=4145.674104000001, p99(latency)=4145.674104000001
11382, avg(latency)=4145.674104000001, med(latency)=4145.674104000001, p99(latency)=4145.674104000001
3463, avg(latency)=4145.674104000001, med(latency)=4145.674104000001, p99(latency)=4145.674104000001
6123516, avg(latency)=4145.674104000001, med(latency)=4145.674104000001, p99(latency)=4145.674104000001
183874, avg(latency)=4145.674104000001, med(latency)=4145.674104000001, p99(latency)=4145.674104000001
7344, avg(latency)=4145.674104000001, med(latency)=4145.674104000001, p99(latency)=4145.674104000001
225500, avg(latency)=4145.674104000001, med(latency)=4145.674104000001, p99(latency)=4145.674104000001
99, avg(latency)=3815.811389, med(latency)=3938.8261090000005, p99(latency)=2562.7501509199
41927, avg(latency)=4145.674104000001, med(latency)=4145.674104000001, p99(latency)=4145.674104000001
2284, avg(latency)=6620.121720499999, med(latency)=6620.121720499999, p99(latency)=4194.6681668067
58, avg(latency)=6231.0438013, med(latency)=4284.8047485, p99(latency)=1430.3102124963998
7762474, avg(latency)=3162.096059, med(latency)=3162.096059, p99(latency)=3162.096059
5414, avg(latency)=3162.096059, med(latency)=3162.096059, p99(latency)=3162.096059
1001, avg(latency)=3162.096059, med(latency)=3162.096059, p99(latency)=3162.096059
438197425411543, avg(latency)=3162.096059, med(latency)=3162.096059, p99(latency)=3162.096059
200, avg(latency)=3162.096059, med(latency)=3162.096059, p99(latency)=3162.096059
1360028423, avg(latency)=3162.096059, med(latency)=3162.096059, p99(latency)=3162.096059
34, avg(latency)=9658.217428333332, med(latency)=9398.8645435, p99(latency)=3168.8164801085
1396079, avg(latency)=3162.096059, med(latency)=3162.096059, p99(latency)=3162.096059
44123768033141, avg(latency)=3162.096059, med(latency)=3162.096059, p99(latency)=3162.096059
472974538, avg(latency)=3162.096059, med(latency)=3162.096059, p99(latency)=3162.096059
153, avg(latency)=4632.287342, med(latency)=4632.287342, p99(latency)=4632.287342
52, avg(latency)=8151.044843, med(latency)=8378.5167345, p99(latency)=123.60759380850001
19685, avg(latency)=4632.287342, med(latency)=4632.287342, p99(latency)=4632.287342
2849, avg(latency)=4632.287342, med(latency)=4632.287342, p99(latency)=4632.287342
83347814359, avg(latency)=4632.287342, med(latency)=4632.287342, p99(latency)=4632.287342
51, avg(latency)=4350.048184249999, med(latency)=4581.629237, p99(latency)=169.48351197390002
15, avg(latency)=7854.593469913044, med(latency)=4632.287342, p99(latency)=36.9416845218
8418, avg(latency)=4632.287342, med(latency)=4632.287342, p99(latency)=4632.287342
620, avg(latency)=4886.706853, med(latency)=4886.706853, p99(latency)=4637.3248483177995
1345778618433, avg(latency)=4632.287342, med(latency)=4632.287342, p99(latency)=4632.287342
132, avg(latency)=2634.0240363333332, med(latency)=1957.341685, p99(latency)=1325.2120743394
218532146, avg(latency)=4632.287342, med(latency)=4632.287342, p99(latency)=4632.287342
18372, avg(latency)=4632.287342, med(latency)=4632.287342, p99(latency)=4632.287342
1123, avg(latency)=4632.287342, med(latency)=4632.287342, p99(latency)=4632.287342
3032836, avg(latency)=4666.3345930000005, med(latency)=4666.3345930000005, p99(latency)=4666.3345930000005
5268, avg(latency)=4666.3345930000005, med(latency)=4666.3345930000005, p99(latency)=4666.3345930000005
40, avg(latency)=3190.341254, med(latency)=1435.94865, p99(latency)=60.9640694008
129, avg(latency)=5869.198073333333, med(latency)=5725.638137, p99(latency)=4687.3088031711995
1745, avg(latency)=4666.3345930000005, med(latency)=4666.3345930000005, p99(latency)=4666.3345930000005
948, avg(latency)=4666.3345930000005, med(latency)=4666.3345930000005, p99(latency)=4666.3345930000005
82236014494149, avg(latency)=4666.3345930000005, med(latency)=4666.3345930000005, p99(latency)=4666.3345930000005
